کد کالا,نام کالا,واحد,قیمت خرید,قیمت فروش
30203019,کاتاباکس 93 پرو 1000,عدد,133772000,149824640
30203020,کاتاباکس 93 پرو 1500,عدد,178009000,199370080
30203021,کاتاباکس 93 پرو 2000,عدد,222246000,248915520
30202023,کاتاباکس 97/110 پرو 1000,عدد,118303000,132499360
30202017,کاتاباکس 97/110 پرو 1500,عدد,154356000,172878720
30202018,کاتاباکس 97/110 پرو 2000,عدد,190410000,213259200
30202016,کاتاباکس 97/170 پرو 1000,عدد,166281000,186234720
30202024,کاتاباکس 97/170 پرو 1500,عدد,222021000,248663520
30202025,کاتاباکس 97/170 پرو 2000,عدد,277761000,311092320
30204018,کاتاباکس 101 پرو 1000,عدد,162221000,181687520
30204019,کاتاباکس 101 پرو 1500,عدد,217076000,243125120
30204020,کاتاباکس 101 پرو 2000,عدد,271930000,304561600
30204021,کاتاباکس 101 پرو 2500,عدد,326785000,365999200
30204022,کاتاباکس 101 پرو 3000,عدد,381641000,427437920
30204023,کاتاباکس 101 پرو 3500,عدد,436494000,488873280
30204024,کاتاباکس 101 پرو 4000,عدد,491350000,550312000
30206017,کاتاباکس 118 پرو 1000,عدد,183961000,206036320
30206018,کاتاباکس 118 پرو 1500,عدد,245894000,275401280
30206019,کاتاباکس 118 پرو 2000,عدد,307826000,344765120
30206020,کاتاباکس 118 پرو 2500,عدد,369760000,414131200
30206021,کاتاباکس 118 پرو 3000,عدد,431692000,483495040
30206022,کاتاباکس 118 پرو 3500,عدد,493625000,552860000
30206023,کاتاباکس 118 پرو 4000,عدد,555557000,622223840
