کد کالا,نام کالا,واحد,قیمت خرید,قیمت فروش
30104009,کاتاليست تيبا (AM),عدد,88740000,99388800
30101012,کاتاليست پژو 405 (AM),عدد,89018000,99700160
30106020,کاتاليست EF7 Sheet metal-am,عدد,87972000,98528640
30103014,کاتاليست پراید یورو4 (AM),عدد,79729000,89296480
30103016,کاتاليست پراید زیمنس _ AM,عدد,56740000,63548800
30110003,کاتاليست R2 (AM),عدد,80258000,89888960
30118003,کاتاليست ليفان 60X (AM),عدد,106190000,118932800
30118005,کاتاليست دوم ليفان 620AM,عدد,103660000,116099200
30121003,کاتاليست ام وی ام 33X (AM),عدد,78740000,88188800
30121004,کاتاليست ام وی ام 315 (AM),عدد,99290000,111204800
30121012,کاتاليست MVM530- (AM),عدد,67520000,75622400
30121014,کاتاليست MVM550 - (AM),عدد,68990000,77268800
30121011,کاتاليست دوم AM- 550 & 530MVM,عدد,64640000,72396800
30111003,کاتاليست زانتيا (AM),عدد,100620000,112694400
30203018,کاتاباکس قطر 93 - (AM CAM),عدد,49577000,55526240
30109016,کاتاباکس مزدا با لوله (AM),عدد,64166000,71865920
30209006,کاتاباکس قطر 97 با طول 170 (AM CAM),عدد,61370000,68734400
30202013,کاتاباکس قطر 97 با طول 110 (AM CAM),عدد,45209000,50634080
30204017,کاتاباکس قطر 101 - (AM CAM),عدد,61589000,68979680
30206014,کاتاباکس قطر 118 - (AM CAM),عدد,66830000,74849600
30108020,کاتاليست نيسان (AM) NIB,عدد,195130000,218545600
30102010,کاتاليست پژو 206 TU3 با لوله و متعلقات _ AM,عدد,80229000,89856480
30105003,با لوله(کاتاليست رانا ) _ AM,عدد,80177000,89798240
30101014,کاتاليست XUM (Am),عدد,82111000,91964320
30109018,کاتاليست وانت مزدا طرح فلکسيبل -AM,عدد,111450000,124824000
30109021,کاتاليست وانت مزدا طرح رینگ سيل -AM,عدد,85750000,96040000
30109020,کاتاليست وانت مزدا DAE- AM,عدد,133680000,149721600
30109019,کاتاليست وانت مزدا با موتور OHVG- AM,عدد,103310000,115707200
30113008,مجموعه کاتاليست وانت کاپرا با فلکسيبل- AM,عدد,51770000,57982400
30113009,مجموعه کاتاليست وانت کاپرا بدون فلکسيبل - AM,عدد,94180000,105481600
30120004,کاتاليست مگان 1600 (AM),عدد,74833000,83812960
30207006,کاتاباکس ROA با لوله AM,عدد,77950000,87304000
30112003,کاتاليست پژو 405 - 16 سوپاپ - AM,عدد,91475000,102452000
30101015,کاتاليست پژو 405 دوسنسوره - AM,عدد,91475000,102452000
30104014,کاتاليست تيبا (Plus AM),عدد,96404000,107972480
30104029,کاتاليست تيبا ارتقا یافته شيت متال - Plus Am,عدد,108545000,121570400
30106022,کاتاليست EF7 Sheet metal-am plus,عدد,99497000,111436640
30106016,کاتاليست EF7 توربو _ AM Plus,عدد,111384000,124750080
30106023,کاتاليست EF7 توربو PLUS AM اتومات,عدد,124488000,139426560
30103021,کاتاليست پراید یورو4 (Plus AM),عدد,87312000,97789440
30103020,کاتاليست پراید زیمنس (Plus AM),عدد,61360000,68723200
30134003,کاتاليست شاهين PLUS AM,عدد,133680000,149721600
30110005,کاتاليست R2 (AM Plus),عدد,87895000,98442400
30117002,اچ سی کراس(کاتاليست ) H30 CROSS -PLUS AM,عدد,113320000,126918400
30118004,کاتاليست ليفان X60 (AM Plus),عدد,114370000,128094400
30121008,کاتاليست MVM X33 (AM PLUS),عدد,83710000,93755200
30121013,کاتاليست MVM530- (AM Plus),عدد,71880000,80505600
30121015,کاتاليست MVM550- (AM Plus),عدد,73130000,81905600
30203009,کاتاباکس قطر 93 - Plus AM,عدد,58556000,65582720
30209001,کاتاباکس مزدا با لوله - (Plus AM),عدد,75804000,84900480
30209005,کاتاباکس قطر 97 با طول 170 (Plus AM),عدد,72484000,81182080
30202005,کاتاباکس قطر 97 با طول 110 (AMPLUS),عدد,53414000,59823680
30204004,کاتاباکس قطر 101 - Plus AM,عدد,72883000,81628960
30206005,کاتاباکس قطر 118 - Plus AM,عدد,78524000,87946880
30102011,کاتاليست پژو 206 TU3 با لوله و متعلقات (Plus AM),عدد,88740000,99388800
30105004,با لوله(کاتاليست رانا ) (Plus AM),عدد,88131000,98706720
30102012,کاتاليست پژو 207 (PLUS AM),عدد,89326000,100045120
30132002,کاتاليست تارا PLUS AM,عدد,113830000,127489600
30101016,کاتاليست xum (AM Plus),عدد,104225000,116732000
30125003,کاتاليست وانت آریسان AMPLUS,عدد,101715000,113920800
30109022,کاتاليست وانت مزدا طرح فلکسيبل (Plus AM),عدد,119760000,134131200
30109023,کاتاليست وانت مزدا طرح رینگ سيل (Plus AM),عدد,112610000,126123200
30121010,کاتاليست مزدا DAE (AM PLUS),عدد,141990000,159028800
30109024,کاتاليست وانت مزدا با موتور OHVG (Plus AM),عدد,104220000,116726400
30113010,مجموعه کاتاليست وانت کاپرا بدون فلکسيبل (Plus AM),عدد,102360000,114643200
30113011,مجموعه کاتاليست وانت کاپرا با فلکسيبل (Plus AM),عدد,56200000,62944000
30120007,کاتاليست مگان (PLUS AM),عدد,90605000,101477600
30207007,کاتاباکس ROA با لوله AMPLUS,عدد,78670000,88110400
30101018,کاتاليست پژو 405 دوسنسوره - (Plus AM),عدد,100104000,112116480
30126003,کاتاليست دوم هایما Plus AM,عدد,140366000,157209920
30203013,کاتاباکس قطر 93 (OES),عدد,109899000,123086880
30202007,کاتاباکس قطر 97 (OES),عدد,136194000,152537280
30217015,کاتاباکس قطر 97 با طول 110 – OES,عدد,105902000,118610240
30204007,کاتاباکس قطر 101 (OES),عدد,132612000,148525440
30206007,کاتاباکس قطر 118 (OES),عدد,150521000,168583520
30147004,کاتاليست کلوت OES,عدد,346490000,388068800
30207008,کاتاباکس ROA با لوله - OES,عدد,121125000,135660000
30602004,رینگ سيل R2,عدد,980000,1097600
30603002,با ميکا(رینگ سيل پراید ),عدد,686000,768320
30601002,رینگ سيل پژو 405طرح جدید(),عدد,1702000,1906240
30606001,رینگ سيل سمند دیزل,عدد,3017000,3379040
30605001,رینگ سيل 90L بسته بندی شده,عدد,1587000,1777440
31001004,ست پيچ و مهره کاتاليست 405,عدد,3158000,3536960
31001003,ست پيچ و مهره کاتاليست 206 _ B,عدد,2460000,2755200
31001005,ست اتصالات کاتاليست 405بدون رینگ سيل(),عدد,1359000,1522080
31001006,ست اتصالات کاتاليست 206بدون رینگ سيل(),عدد,1287000,1441440
31001015,ست اتصالات تيگارد,عدد,18900000,21168000
