کد کالا,نام کالا,واحد,قیمت خرید,قیمت فروش
30203019,کاتاباکس 93 پرو 1000,عدد,133772000,160526400
30203020,کاتاباکس 93 پرو 1500,عدد,178009000,213610800
30203021,کاتاباکس 93 پرو 2000,عدد,222246000,266695200
30202023,کاتاباکس 97/110 پرو 1000,عدد,118303000,141963600
30202017,کاتاباکس 97/110 پرو 1500,عدد,154356000,185227200
30202018,کاتاباکس 97/110 پرو 2000,عدد,190410000,228492000
30202016,کاتاباکس 97/170 پرو 1000,عدد,166281000,199537200
30202024,کاتاباکس 97/170 پرو 1500,عدد,222021000,266425200
30202025,کاتاباکس 97/170 پرو 2000,عدد,277761000,333313200
30204018,کاتاباکس 101 پرو 1000,عدد,162221000,194665200
30204019,کاتاباکس 101 پرو 1500,عدد,217076000,260491200
30204020,کاتاباکس 101 پرو 2000,عدد,271930000,326316000
30204021,کاتاباکس 101 پرو 2500,عدد,326785000,392142000
30204022,کاتاباکس 101 پرو 3000,عدد,381641000,457969200
30204023,کاتاباکس 101 پرو 3500,عدد,436494000,523792800
30204024,کاتاباکس 101 پرو 4000,عدد,491350000,589620000
30206017,کاتاباکس 118 پرو 1000,عدد,183961000,220753200
30206018,کاتاباکس 118 پرو 1500,عدد,245894000,295072800
30206019,کاتاباکس 118 پرو 2000,عدد,307826000,369391200
30206020,کاتاباکس 118 پرو 2500,عدد,369760000,443712000
30206021,کاتاباکس 118 پرو 3000,عدد,431692000,518030400
30206022,کاتاباکس 118 پرو 3500,عدد,493625000,592350000
30206023,کاتاباکس 118 پرو 4000,عدد,555557000,666668400
